qid	dqid	start_id	end_id	start_details	end_details	start_ts	end_ts
11	BFC8A918-8F5B-B34C-7778-0D976F22710D	4752	4827	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":106.2,""answer"":""05:40""}"	1.52715E+12	1.52715E+12
11	A0E85C95-43C0-D251-E886-1D94B6EA354C	8550	8588	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":106.73333333333,""answer"":""05:40""}"	1.52718E+12	1.52718E+12
11	5B02BDED-C12A-9DE4-977C-4F5D7883A152	8556	8568	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":113.63333333333,""answer"":""05:40""}"	1.52718E+12	1.52718E+12
11	C35E7FBB-EB75-AEBA-7EC7-7333E2B4D72E	3977	3993	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":116.33333333333,""answer"":""05:40""}"	1.52715E+12	1.52715E+12
11	AC477EF4-C071-7385-84A4-1DBD5F21B57D	2746	2765	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":116.68333333333,""answer"":""05:40""}"	1.52714E+12	1.52714E+12
11	D60AA727-E6F3-F9B1-63D4-B3716B668837	6185	6190	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":121.98333333333,""answer"":""05:40""}"	1.52716E+12	1.52716E+12
11	1E877CD5-818D-5C66-A348-8CF0D13B2FEC	1694	1776	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":142.40000000001,""answer"":""05:40""}"	1.52713E+12	1.52713E+12
11	2FC41F0D-B12E-CC8B-70EA-68F0A1F23CAD	3230	3254	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":143.08333333334,""answer"":""05:40""}"	1.52714E+12	1.52714E+12
11	F0E32D74-0AA4-F60F-D653-E158BB84D450	1639	1701	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":144.50000000001,""answer"":""05:40""}"	1.52713E+12	1.52713E+12
11	D3D1B6AF-CE57-0ED2-4A11-EB2A2D7176D1	1648	1718	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":146.71666666668,""answer"":""05:40""}"	1.52713E+12	1.52713E+12
11	F3047BEE-9ECD-FC8C-824A-D1F38A416352	1767	1806	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":149.03333333334,""answer"":""05:40""}"	1.52713E+12	1.52713E+12
11	5D6CB386-2A2A-F736-6A0D-0F55FC0A695F	1829	1858	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":155.80000000002,""answer"":""05:40""}"	1.52713E+12	1.52713E+12
11	A81BE520-3D7F-194D-688E-D5A5F936A739	737	789	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":163.75000000002,""answer"":""05:40""}"	1.52713E+12	1.52713E+12
11	E4983417-D276-5D15-1708-A86B595AF7F4	5768	5811	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":166.26666666669,""answer"":""05:40""}"	1.52716E+12	1.52716E+12
11	F24A0CE1-48C4-5D1C-9321-67183F996E11	3514	3548	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":167.56666666669,""answer"":""05:40""}"	1.52714E+12	1.52714E+12
11	535E7639-A7DD-6893-61A3-4961138AB539	5639	5669	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":168.51666666669,""answer"":""05:40""}"	1.52716E+12	1.52716E+12
11	6F035C3E-C431-3FD0-5C6E-735B18B56BCE	3686	3708	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":169.20000000003,""answer"":""05:40""}"	1.52714E+12	1.52714E+12
11	F5C604CF-F02B-3783-F95A-716A65F41889	809	865	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":169.83333333336,""answer"":""05:40""}"	1.52713E+12	1.52713E+12
11	B0AE628C-A462-E773-B2E6-4891C3B6FB52	4543	4572	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":170.75000000003,""answer"":""05:40""}"	1.52715E+12	1.52715E+12
11	231BB3AD-A228-8013-BC8F-18973CA315DF	4829	4863	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":171.85000000003,""answer"":""05:40""}"	1.52715E+12	1.52715E+12
11	27C0973E-4D71-9503-1671-7C047006BFAE	4935	4964	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":176.53333333337,""answer"":""05:40""}"	1.52715E+12	1.52715E+12
11	77013199-B7DF-9293-FCAD-127374885EBC	4957	4989	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":179.95000000004,""answer"":""05:40""}"	1.52715E+12	1.52715E+12
11	F0C89122-0A00-DAD2-EE4D-1535FF2ABF4B	2648	2685	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":181.38333333337,""answer"":""05:40""}"	1.52714E+12	1.52714E+12
11	524A106D-5261-40D0-219D-19FEBE139AF4	8225	8266	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":186.30000000004,""answer"":""05:40""}"	1.52718E+12	1.52718E+12
11	E3A8527F-B995-DFC7-5FDE-9D006451E510	2404	2423	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":189.35000000004,""answer"":""05:40""}"	1.52714E+12	1.52714E+12
11	5FB89AF1-B43F-AF57-9E44-EFEC7F71D6DB	224	241	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":194.46666666671,""answer"":""05:40""}"	1.52713E+12	1.52713E+12
11	83C8AB5C-4FA8-B548-26C7-9B86C2F55615	1527	1590	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":196.40000000005,""answer"":""05:40""}"	1.52713E+12	1.52713E+12
11	7C39F22E-0428-1B1F-1A0F-519882879E6E	2225	2299	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":202.15000000005,""answer"":""05:40""}"	1.52714E+12	1.52714E+12
11	83477ED1-5AF7-4770-1DE5-B7299C2FE470	3701	3722	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":204.66666666672,""answer"":""05:40""}"	1.52714E+12	1.52715E+12
11	49E06356-E102-E478-6362-7A00894A55E1	7004	7052	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":207.88333333339,""answer"":""05:40""}"	1.52717E+12	1.52717E+12
11	B4CD48A7-1FA3-2139-DA1C-FD253036C33B	1938	1963	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":211.41666666673,""answer"":""05:40""}"	1.52713E+12	1.52713E+12
11	447C73BA-9AD7-36BD-C62E-119679E5D6F0	5989	6010	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":214.8333333334,""answer"":""05:40""}"	1.52716E+12	1.52716E+12
11	E55B352A-5E9E-AB6A-7E77-97E8F0B334A6	8178	8213	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":219.1833333334,""answer"":""05:40""}"	1.52718E+12	1.52718E+12
11	0786EB26-235B-AC1E-35A0-8F30BD40FABD	2456	2480	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":220.21666666673,""answer"":""05:40""}"	1.52714E+12	1.52714E+12
11	1ACCAFC2-A753-31E9-AE16-B48D7EF570EE	6161	6179	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":220.6333333334,""answer"":""05:40""}"	1.52716E+12	1.52716E+12
11	FFC8A6D3-7894-D524-5E7B-A67934169617	3058	3108	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":221.36666666673,""answer"":""05:40""}"	1.52714E+12	1.52714E+12
11	FD2519B2-38E2-D354-0742-5D7E3DC4C43B	4255	4286	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":223.40000000007,""answer"":""05:40""}"	1.52715E+12	1.52715E+12
11	D811AB8E-B967-B90A-8CDB-60AF8031CE66	1811	1859	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":224.6833333334,""answer"":""05:40""}"	1.52713E+12	1.52713E+12
11	9A5C2DAB-0C94-389A-CFEC-13E22D06F1FD	6678	6700	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":226.81666666674,""answer"":""05:40""}"	1.52717E+12	1.52717E+12
11	0D51E7B3-E4AC-7D50-46F5-0154ED98E2E8	3318	3346	"{""goalTime"":""8:25""}"	"{""won"":false,""time"":227.76666666674,""answer"":""05:40""}"	1.52714E+12	1.52714E+12
