qid	dqid	timestamp
1	AEDC626B-256C-DB39-E502-D7D19A19E848	1527460705
3	321EEEB1-1D0D-26CC-1D82-3F6B2F66E06D	1527476841
7	9529096E-DD11-C825-395A-47AFD7979410	1527555860
9	E0725C62-EA90-98DA-6B2F-7C8137A6645E	1527451435
9	B8DF9C5F-E1DB-E21D-603B-4791CE0B4CEE	1527476004
9	5508E118-B14B-818B-27E2-2669EEF6C2FD	1527496203
9	183C74FA-AD18-03FB-5A16-95188C1392F1	1527549895
9	239B2CBD-0764-75AD-3E53-1EADCD0AF820	1527556264
9	E4A6A39D-6774-B849-296F-9959AEB57E3B	1527558097
9	7B5E862D-8E61-0AC1-8A11-93F94F604128	1527558344
9	50EF9DA6-A865-6C71-ECEC-00DC3FE1B139	1527575976
9	E255A5F4-1CE1-8022-2C4A-61033EE90861	1527576802
9	DD825F6C-0AD2-18E5-94A3-21E352749C40	1527584128
9	3EAA7EC7-97F2-A501-8698-01A5FD280DE6	1527587015
9	0EDC0975-DC6F-A7BC-139C-5DD982BDBAB7	1527604995
9	A1F49A9B-CC2A-3D61-1FD0-56F651E36CAC	1527610200
9	3D59C644-372F-DA4D-DE91-585BECE43182	1527613655
9	78A661DF-70C8-346D-FB7B-3DE0FFF534D6	1527616076
9	E525BD33-D7FE-9647-B80B-47AF577D1927	1527616865
11	3C65FD6C-9193-FED5-46F8-1B4A31603197	1527452834
11	F75F5CFD-DEBA-8E24-A72F-340CE495E138	1527476575
11	0530D416-3FCD-6DC1-AFFF-180098F76FF1	1527479124
11	EA1DCF03-5C94-07CC-050B-51FDDB10B74D	1527488396
11	80C92F65-1AE8-55E3-E60A-1B202669C94F	1527550474
11	847FF36D-83AD-A3EB-2A57-1B2155F23612	1527584462
11	C80F8FA8-BAA8-E663-F307-AF37292362E9	1527600465
11	C7800DB4-ABC8-2901-EFF1-7DDD90AF9388	1527603955
11	00A4C30C-2259-00CE-72C3-C08DBB468B95	1527605628
11	16597A4D-D6BB-37B7-7C75-F03B9AC01204	1527614915
11	9D497640-7E9C-44CB-89AC-C7910A29909F	1527624872
11	FC26238D-D92E-FDE1-4CF5-8D23DAA119F8	1527627494
13	90930B6D-3470-2A30-0F36-1D5E7AB0B291	1527476892
13	DBEE1F91-CCED-66E9-B0E3-AC1D73674D92	1527511434
13	03226C2A-438B-2B1A-4199-128A6C21B711	1527540906
13	7767812B-B629-ADD5-FC30-43826E1CF4EA	1527550753
13	49CFA800-F693-D027-A893-5AB7A2DD7178	1527600667
13	3302466C-91CF-BFDD-A0B7-058F83018028	1527605502
13	CBED8E1D-9FF4-5A2B-75CD-7F483ED22DBA	1527616448
15	E57C8FAC-8A21-EBBA-712C-02C2993F2689	1527561283
15	C2C4C03A-35AA-047E-8B84-241D1E911A0C	1527610960
17	69B832AC-DCFB-89C3-022C-1597F767212C	1527616881
